Date,Equity_LS,BOND,Const80_20,Const70_30,Const60_40,w_equity,Port
2022-07-31,-0.01378973,0.04153504,-0.00272478,0.00280770,0.00834018,0.69599692,0.00302917
2022-08-31,0.12634932,-0.05249737,0.09057998,0.07269531,0.05481064,0.76910686,0.08505485
2022-09-30,0.08477228,-0.03716935,0.06038395,0.04818979,0.03599563,0.75139357,0.05445680
2022-10-31,0.03962045,0.00057832,0.03181202,0.02790781,0.02400360,0.72437116,0.02885931
2022-11-30,-0.03699925,0.02355378,-0.02488864,-0.01883334,-0.01277804,0.65693704,-0.01622575
2022-12-31,0.02179932,-0.04159998,0.00911946,0.00277953,-0.00356040,0.70888961,0.00334313
2023-01-31,-0.02796375,0.02111364,-0.01814827,-0.01324054,-0.00833280,0.66549735,-0.01154724
2023-02-28,0.04962220,-0.02490867,0.03471602,0.02726294,0.01980985,0.73403403,0.02979952
2023-03-31,0.05985929,0.02490385,0.05286820,0.04937266,0.04587711,0.74066825,0.05079423
2023-04-30,0.01006989,-0.00086613,0.00788269,0.00678908,0.00569548,0.68926445,0.00667168
2023-05-31,-0.01052951,0.00341925,-0.00773976,-0.00634488,-0.00495000,0.67076921,-0.00593715
2023-06-30,0.13478672,-0.00196777,0.10743582,0.09376037,0.08008492,0.78026473,0.10473693
2023-07-31,-0.12961227,-0.00298146,-0.10428611,-0.09162303,-0.07895995,0.61389578,-0.08071958
2023-08-31,-0.06351509,0.00294217,-0.05022364,-0.04357791,-0.03693219,0.64177394,-0.03970837
2023-09-30,0.04416376,-0.02683467,0.02996408,0.02286423,0.01576439,0.72349497,0.02453234
2023-10-31,0.01646915,0.00444749,0.01406482,0.01286265,0.01166049,0.70154524,0.01288123
2023-11-30,-0.01928677,0.03128998,-0.00917142,-0.00411375,0.00094393,0.67218293,-0.00270685
2023-12-31,-0.11458988,0.03725788,-0.08422033,-0.06903556,-0.05385078,0.62424536,-0.05753238
2024-01-31,0.11895069,-0.00671477,0.09381760,0.08125105,0.06868450,0.76434309,0.08933675
2024-02-29,0.05373720,-0.01083482,0.04082279,0.03436559,0.02790839,0.72565073,0.03602191
2024-03-31,0.04752318,0.01029816,0.04007818,0.03635568,0.03263317,0.71915289,0.03706864
2024-04-30,-0.01388344,-0.01496546,-0.01409984,-0.01420804,-0.01431625,0.67657274,-0.01423339
2024-05-31,-0.08479349,-0.00183443,-0.06820168,-0.05990577,-0.05160987,0.63814029,-0.05477395
2024-06-30,-0.00610596,0.00334570,-0.00421563,-0.00327046,-0.00232529,0.68685422,-0.00314621
2024-07-31,-0.06384505,0.02193311,-0.04668942,-0.03811160,-0.02953378,0.65159365,-0.03395939
2024-08-31,-0.01077393,0.00335498,-0.00794815,-0.00653526,-0.00512237,0.68865487,-0.00637496
2024-09-30,0.02407751,0.01378708,0.02201943,0.02099038,0.01996134,0.71751929,0.02117067
2024-10-31,0.02996079,-0.01111466,0.02174570,0.01763816,0.01353061,0.72234806,0.01855611
2024-11-30,0.05170434,0.02426097,0.04621567,0.04347133,0.04072699,0.73527373,0.04443936
2024-12-31,0.01925840,-0.01512177,0.01238237,0.00894435,0.00550633,0.71134067,0.00933425
2025-01-31,-0.00593726,-0.00167578,-0.00508497,-0.00465882,-0.00423267,0.69079301,-0.00461958
2025-02-28,0.12995095,0.00499050,0.10495886,0.09246281,0.07996677,0.77149705,0.10139712
2025-03-31,-0.02041948,-0.01570969,-0.01947752,-0.01900654,-0.01853557,0.68066272,-0.01891547
2025-04-30,0.00537316,0.02022566,0.00834366,0.00982891,0.01131416,0.69988425,0.00983063
2025-05-31,0.03310106,0.00121378,0.02672361,0.02353488,0.02034615,0.71902281,0.02414146
2025-06-30,-0.04584650,-0.00318789,-0.03731478,-0.03304892,-0.02878306,0.66480377,-0.03154749
2025-07-31,0.11483783,-0.00189180,0.09149190,0.07981894,0.06814598,0.77028479,0.08802326
2025-08-31,0.00754169,-0.00491898,0.00504955,0.00380349,0.00255742,0.69533344,0.00374534
2025-09-30,0.01325432,0.00553289,0.01171003,0.01093789,0.01016575,0.70136625,0.01094844
2025-10-31,-0.01716484,0.00924591,-0.01188269,-0.00924162,-0.00660054,0.67676772,-0.00862804
